"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5CWGRrNRxRo0KXhMJuMm1S","Energy","spotify:artist:4C825UjHAWCMvdZwbtpwDT, spotify:artist:3cWOwptrfEuGMJ2cM7ipc3","Stace Cadet, KLP","spotify:album:3UB0GAweplve4pzvsGooLf","Energy","spotify:artist:4C825UjHAWCMvdZwbtpwDT, spotify:artist:3cWOwptrfEuGMJ2cM7ipc3","Stace Cadet, KLP","2020-04-24","https://i.scdn.co/image/ab67616d0000b273424516d98c5e9bafba4fd577","1","1","208550","","false","0","spotify:user:","2022-07-15T04:01:00Z","australian house,australian dance","0.704","0.822","5","-5.142","0","0.0366","0.000341","0.714","0.28","0.442","125.003","4","","Medium Rare Recordings","C 2020 Medium Rare Recordings, P 2020 Medium Rare Recordings"
"spotify:track:7sXfnVRtIuohi0PQiyDVV8","No Pain No Gain","spotify:artist:6GIwyYD9kOim8j3M6jt4AM, spotify:artist:1vo8zHmO1KzkuU9Xxh6J7W","BODYWORX, MOTi","spotify:album:536QV4adHSi9o8DHQLvv98","No Pain No Gain","spotify:artist:6GIwyYD9kOim8j3M6jt4AM, spotify:artist:1vo8zHmO1KzkuU9Xxh6J7W","BODYWORX, MOTi","2020-12-04","https://i.scdn.co/image/ab67616d0000b2735abceb883b7bb340a0862600","1","1","156190","https://p.scdn.co/mp3-preview/eb9fb1cd610cfd5b59e317c0281eeb62e4b1a23e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2022-07-15T04:01:00Z","covertronica,edm,pop dance,dance pop,edm,electro house,house,pop dance,pop edm,tropical house","0.81","0.817","8","-5.327","1","0.0902","0.071","0.00000182","0.0488","0.267","125.989","4","","ZEROCOOL","C 2020 ZEROCOOLREC.COM, P 2020 ZEROCOOLREC.COM"
"spotify:track:2hcqLu8Hhu2yJd5h4T4WDf","Bad Bitches (feat. Megan Thee Stallion)","spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:21AUdblPrTRzkvJn8FGrlk, spotify:artist:181bsRPaVXVlUKXrxwZfHK","Marshmello, Nitti Gritti, Megan Thee Stallion","spotify:album:4M6gPtD9TwGXqZLpAcUSqJ","Bad Bitches (feat. Megan Thee Stallion)","spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:21AUdblPrTRzkvJn8FGrlk, spotify:artist:181bsRPaVXVlUKXrxwZfHK","Marshmello, Nitti Gritti, Megan Thee Stallion","2021-06-08","https://i.scdn.co/image/ab67616d0000b27325e9191a70dfa054b9829474","1","1","152414","https://p.scdn.co/mp3-preview/8331f63b1014bd2157883433e1bb98e7254efced?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:","2022-07-15T04:01:00Z","brostep,dance pop,edm,pop,pop dance,progressive electro house,dubstep,edm,electro house,electronic trap,dance pop,houston rap,pop,trap queen","0.819","0.814","10","-3.44","0","0.0382","0.00033","0.328","0.0644","0.464","125.965","4","","Joytime Collective","C 2021 Joytime Collective, P 2021 Joytime Collective"
"spotify:track:013PVeWEFQio3XHFH9rIC6","The Drop","spotify:artist:2HkAI0YrEcgoR8QdaURqhO, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:40xbWSB4JPdOkRyuTDy1oP, spotify:artist:13NpuESz6tlK819yBs0PuS","Dimitri Vegas, David Guetta, Nicole Scherzinger, Azteck","spotify:album:3R69AWht6e2vZq7Cg3XGPH","The Drop","spotify:artist:2HkAI0YrEcgoR8QdaURqhO, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:40xbWSB4JPdOkRyuTDy1oP","Dimitri Vegas, David Guetta, Nicole Scherzinger","2022-06-24","https://i.scdn.co/image/ab67616d0000b27388155ffba44b9a2145a8c6f6","1","1","121987","https://p.scdn.co/mp3-preview/105192f9ab21357f6b9fe2f98f5e51970e37efcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:","2022-07-15T04:01:00Z","belgian edm,big room,dance pop,edm,pop,pop dance,pop rap,dance pop,electropop,pop,post-teen pop,uk pop,urban contemporary","0.869","0.838","0","-4.515","0","0.0663","0.0113","0.269","0.0583","0.717","122.018","4","","House Of House","C (C) 2022 House Of House, a division of Smash The House, P (P) 2022 House Of House, a division of Smash The House"
"spotify:track:4lUmnwRybYH7mMzf16xB0y","Hats Off (feat. Travis Scott)","spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:3hcs9uc56yIGFCSy9leWe7, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Lil Baby, Lil Durk, Travis Scott","spotify:album:6CvBb1XqN0igtQrWrbXD80","The Voice of the Heroes","spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:3hcs9uc56yIGFCSy9leWe7","Lil Baby, Lil Durk","2021-06-04","https://i.scdn.co/image/ab67616d0000b2739fa79040de02a72663f24323","1","3","257428","https://p.scdn.co/mp3-preview/8a21747e9949963db4079a5c28ff989d77f779ec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","spotify:user:","2022-07-15T04:01:00Z","atl hip hop,atl trap,rap,trap,chicago drill,chicago rap,drill,hip hop,rap,trap,hip hop,rap,slap house","0.596","0.65","9","-5.167","1","0.337","0.138","0","0.14","0.188","133.997","4","","Quality Control Music/Alamo Records/Motown Records","C © 2021 Quality Control Music, LLC, under exclusive license to UMG Recordings, Inc., P Quality Control Music/Alamo Records/Motown Records; ℗ 2021 Quality Control Music, LLC, under exclusive license to UMG Recordings, Inc."
"spotify:track:15223sfwoQj4IAJL8GSnfO","Ritmo","spotify:artist:0j4dGWeyGGE4GvrAzdZIZ5","Raffa Fl","spotify:album:6LIsvePgAs2LVJHcWub3Sj","Ritmo","spotify:artist:0j4dGWeyGGE4GvrAzdZIZ5","Raffa Fl","2021-08-13","https://i.scdn.co/image/ab67616d0000b273bcafc4cc884981bb58ca55fd","1","1","183810","https://p.scdn.co/mp3-preview/5dc341f2fec48e101d0ac63d5dee2b1f371b28b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:","2022-07-15T04:01:00Z","italian tech house","0.777","0.869","7","-5.159","0","0.0945","0.00083","0.000653","0.375","0.681","124.007","4","","Another Rhythm","C 2021 Howedo Music, under exclusive license to Another Rhythm, P 2021 Howedo Music, under exclusive license to Another Rhythm"
"spotify:track:52wqMbmCqeTw37jd4zFAWr","Trust Nobody - Valentino Khan Remix","spotify:artist:540vIaP2JwjQb9dm3aArA4, spotify:artist:0deIjoDjl9g9Zpw0sCIOHh","DJ Snake, Valentino Khan","spotify:album:6r58Yml4mD6I4MXwN4UNkx","Trust Nobody (Valentino Khan Remix)","spotify:artist:540vIaP2JwjQb9dm3aArA4","DJ Snake","2020-07-22","https://i.scdn.co/image/ab67616d0000b273f3e0aaa6d4a477e31ce2d5da","1","1","199741","https://p.scdn.co/mp3-preview/8611161f7556da56977483d5ce201b0f64a939de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2022-07-15T04:01:00Z","dance pop,edm,electronic trap,pop,pop dance,pop rap,bass house,brostep,edm,electro house,electronic trap,moombahton,pop dance","0.529","0.981","1","-1.293","1","0.134","0.00217","0.0207","0.495","0.447","155.073","4","","DJ Snake Music Productions Limited","C © 2020 DJ Snake Music Productions Limited, under exclusive license to Interscope Records, P ℗ 2020 DJ Snake Music Productions Limited, under exclusive license to Interscope Records"
"spotify:track:2OlXEjn4FufYIVL9KC1FHO","Streets - DJ Sliink Remix","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5, spotify:artist:0t9dGS12PMZmiJiZa9vpyk","Doja Cat, DJ Sliink","spotify:album:2bztR3sQyvs9HxlraqZMRD","Streets (Remixes)","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2021-03-19","https://i.scdn.co/image/ab67616d0000b273073918f7348ca862fba2d465","1","2","133846","https://p.scdn.co/mp3-preview/a2fa64e3df6ae4aa5e5def4e6ea4de4bc869cb80?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:","2022-07-15T04:01:00Z","dance pop,pop,bmore,electronic trap,jersey club,vapor house,vogue","0.731","0.742","0","-9.151","1","0.0986","0.363","0.205","0.17","0.224","130.067","4","","Kemosabe Records/RCA Records","P (P) 2021 Kemosabe Records/RCA Records"
"spotify:track:0c5nqQNIH07Lh16AOjqEPQ","Skydance","spotify:artist:2rTo8KIkBTFjQS7VvaKYQ4, spotify:artist:5QWt56OIzFSPRpD7VeRkbc, spotify:artist:0sESxrO3UuQaknGbiuJ7tB","W&W, AXMO, Giin","spotify:album:7Dur0wY6jLRi0anvrDNnxu","Skydance","spotify:artist:2rTo8KIkBTFjQS7VvaKYQ4, spotify:artist:5QWt56OIzFSPRpD7VeRkbc, spotify:artist:0sESxrO3UuQaknGbiuJ7tB","W&W, AXMO, Giin","2021-04-30","https://i.scdn.co/image/ab67616d0000b273a4092bc860ff1f720c944679","1","1","166812","https://p.scdn.co/mp3-preview/97f76866bad553afc2f1cab47c087fbaf7b081f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2022-07-15T04:01:00Z","big room,dutch trance,edm,electro house,pop dance,deep big room","0.377","0.895","8","-2.467","1","0.0476","0.000408","0.000647","0.607","0.449","75.108","4","","Rave Culture","C 2021 Rave Culture Music B.V., P 2021 Rave Culture Music B.V."
"spotify:track:33gwZOGJWEZ7dRWPqPxBEZ","Wolves (feat. Post Malone)","spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:246dkjvS1zLTtiykXe5h60","Big Sean, Post Malone","spotify:album:6slkiHeFK3wW2D1mao0TX3","Detroit 2","spotify:artist:0c173mlxpT3dSFRgMO8XPh","Big Sean","2020-09-04","https://i.scdn.co/image/ab67616d0000b273b1b3fdd23be4c158d4d2c32f","1","4","199758","https://p.scdn.co/mp3-preview/99d9e002987077ab05f5ef4de7aef78cf49fc846?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:","2022-07-15T04:01:00Z","detroit hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap,dfw rap,melodic rap,rap","0.724","0.675","2","-5.267","1","0.0867","0.0978","0.00000941","0.351","0.325","160.048","4","","Getting Out Our Dreams, Inc./Def Jam Recordings","C © 2020 Getting Out Our Dreams, Inc./Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2020 Getting Out Our Dreams, Inc./Def Jam Recordings, a division of UMG Recordings, Inc."
