"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4sbtM9ORGwmxGkXfctXbJq","NO FUN","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:34GQP3dILpyCN018y2k61L","BALLADS 1","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2018-10-26","https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2","1","8","168417","https://p.scdn.co/mp3-preview/c579ab09e8055a741bf93697a9d223a4c4f19014?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:","2022-07-01T10:00:00Z","viral pop","0.809","0.483","5","-6.886","1","0.0487","0.8","0","0.221","0.715","96.974","4","","88rising Music/Warner Records","C © 2018 88rising Records/Warner Records Inc., P ℗ 2018 88rising Records/Warner Records Inc."
"spotify:track:7vRia9rlEuTDQxkfXIKySi","It's Not The Same Anymore","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:5CNckxfLf4TCoMOoxgAU8l","Pony","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2019-10-25","https://i.scdn.co/image/ab67616d0000b273733e6d7818eef87d20df86b5","1","10","386200","https://p.scdn.co/mp3-preview/a8ceef3fa64e335ace5dd99adf06a569d8a66c9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:","2022-07-08T13:36:39Z","bedroom pop,pop","0.666","0.317","5","-10.644","1","0.0327","0.873","0.0000374","0.111","0.359","117.676","4","","Rex Orange County","P (P) 2019 Rex Orange County, under exclusive license to Sony Music Entertainment."
"spotify:track:5grd5zeMl1nKVxwYiDjTUb","Not Like This","spotify:artist:2sZ1bsMMDGUvXBvihXLZn2","NEVE","spotify:album:1gsnhLwPmsoS3BIvsccec9","Not Like This","spotify:artist:2sZ1bsMMDGUvXBvihXLZn2","NEVE","2022-05-20","https://i.scdn.co/image/ab67616d0000b273d89ccfd631879298156fb83e","1","1","205914","https://p.scdn.co/mp3-preview/f1fac827ae070078128732b2bb2da206af25581f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:","2022-07-01T10:00:00Z","","0.762","0.663","0","-4.019","1","0.0475","0.00686","0","0.0979","0.513","120.073","4","","NEVE","C 2022 NEVE, P 2022 NEVE"
"spotify:track:17fVCW5DPU4NEu2Vi3tZgs","can't hate you yet","spotify:artist:0SAfVY2Qy5TbA3mreZfHyf","CATTY","spotify:album:3H6H7AUxvALYsd2bNfJ5oP","can't hate you yet","spotify:artist:0SAfVY2Qy5TbA3mreZfHyf","CATTY","2022-02-25","https://i.scdn.co/image/ab67616d0000b2739b87db45df3d90f35544947d","1","1","202623","https://p.scdn.co/mp3-preview/fd32e659b208800db99bb5523668ddec9b126d65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2022-07-01T10:00:00Z","","0.599","0.658","6","-4.332","1","0.0358","0.241","0","0.0766","0.462","119.943","4","","CATTY","C (C) 2022 CATTY, P (P) 2022 CATTY"
"spotify:track:2U7BKUJfq3uewvHxYNnXO2","Down to My Grave","spotify:artist:5ak6WzG7TJnqL6x6CRYoxP","Hueston","spotify:album:7LiaBqzeWrH0RJRd4HwHOy","Down to My Grave","spotify:artist:5ak6WzG7TJnqL6x6CRYoxP","Hueston","2019-06-07","https://i.scdn.co/image/ab67616d0000b27355fa9dc7c720d2aac262e8bf","1","1","248476","https://p.scdn.co/mp3-preview/e54fe966d58406c1938270ea6ab1b30ce5c33196?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:","2022-07-01T10:00:00Z","","0.518","0.121","2","-10.69","1","0.0348","0.771","0.0000106","0.0995","0.0476","141.628","4","","Hueston","C 2019 Young Hueston, P 2019 Young Hueston"
"spotify:track:7uANMVttqDIdNySaMvVOhh","heart won't let me - stripped","spotify:artist:49tQo2QULno7gxHutgccqF","LANY","spotify:album:6ZsCg58PZj6jFALfiB5ZtX","mama's boy (deluxe)","spotify:artist:49tQo2QULno7gxHutgccqF","LANY","2021-02-05","https://i.scdn.co/image/ab67616d0000b2738f870c0a0f3908c1ed46bb83","1","15","197596","https://p.scdn.co/mp3-preview/b63eef16eb0220090db878dfe678e00e09fab54f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2022-07-01T10:00:00Z","la pop,pop","0.681","0.456","7","-10.048","1","0.0588","0.598","0","0.116","0.111","121.892","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P A Polydor Records Release; ℗ 2021 Side Street Entertainment LLC, under exclusive licence to Universal Music Operations Limited"
"spotify:track:5gfSLaq4wPme6Nsvhg7alp","that was then","spotify:artist:5Smb3KB29epOb92Btsxulb","isaac gracie","spotify:album:3sVAfvNnL6CdF6U6owX18f","isaac gracie","spotify:artist:5Smb3KB29epOb92Btsxulb","isaac gracie","2018-04-13","https://i.scdn.co/image/ab67616d0000b27340b3fdb309f4ceb027cb5e54","1","6","248873","","false","0","spotify:user:","2022-07-01T10:00:00Z","indie folk","0.397","0.541","3","-7.642","1","0.0271","0.507","0.000105","0.101","0.173","157.987","3","","Virgin EMI","C © 2018 Buried Crowns Ltd, under exclusive license to Universal Music Operations Limited, P A Virgin EMI Records release; ℗ 2018 Buried Crowns Ltd, under exclusive license to Universal Music Operations Limited"
"spotify:track:0xF4pgg7PrOG1HccKenJYz","Funeral","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:1p16WxrdVBNIAAxbpZMWJR","Stranger in the Alps (Deluxe Edition)","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2018-10-02","https://i.scdn.co/image/ab67616d0000b2732a5edd6218037175ddf7c2c8","1","3","232373","","false","0","spotify:user:","2022-07-01T10:00:00Z","indie pop,la indie","0.215","0.263","11","-14.416","1","0.0378","0.947","0.00028","0.0919","0.307","172.332","4","","Dead Oceans","C 2017 Dead Oceans, P 2017 Dead Oceans"
"spotify:track:5JiH89mHrv9oWHlD0T326z","To Be So Lonely","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:7xV2TzoaVc0ycW7fwBwAml","Fine Line","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-12-13","https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a","1","7","192080","https://p.scdn.co/mp3-preview/5c3bbdd82c1a061a718a734ecde48800bd21f2ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2022-07-01T10:00:00Z","pop","0.758","0.436","0","-7.269","1","0.0418","0.618","0.0000161","0.335","0.605","104.959","4","","Columbia","P (P) 2019 Erskine Records Limited, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:6Pf224HDEoj3VJYJHLXVcT","I Know","spotify:artist:2XI2CpdL1MtHXIt0rxa7mS","Jean Seizure","spotify:album:7KgqCgEl6eqy7to8gAvDij","I Know","spotify:artist:2XI2CpdL1MtHXIt0rxa7mS","Jean Seizure","2018","https://i.scdn.co/image/ab67616d0000b273277d59da2825fd27cfd4318f","1","1","178409","https://p.scdn.co/mp3-preview/189aa06f9b9dde66cc15ab7fd895ba2683db4929?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2022-07-01T10:00:00Z","singaporean singer-songwriter","0.436","0.0321","9","-17.82","1","0.0432","0.942","0","0.101","0.394","88.398","4","","Where Are The Fruits","C (C) 2020 Where Are The Fruits, P (P) 2018 Where Are The Fruits"
"spotify:track:1bXm6XU3SYSqQGLTRhUSfm","hate myself","spotify:artist:45dkTj5sMRSjrmBSBeiHym","Tate McRae","spotify:album:5fhTetHew6Eph6HfQ9O5gJ","i used to think i could fly","spotify:artist:45dkTj5sMRSjrmBSBeiHym","Tate McRae","2022-05-27","https://i.scdn.co/image/ab67616d0000b273f7108342ef45a402af8206b2","1","6","173306","https://p.scdn.co/mp3-preview/b074a0e1a22d9aa6ab2a4d29e4228362a35af907?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:","2022-07-01T10:00:00Z","pop","0.47","0.279","7","-8.179","1","0.206","0.774","0","0.056","0.118","76.01","4","","RCA Records Label","P (P) 2022 RCA Records, a division of Sony Music Entertainment"
"spotify:track:4UJgNlHQYutGJsYKF9CbLN","Trainwreck","spotify:artist:1WGnWmocb9hSfRgsbpjn7i","Kyle Meagher","spotify:album:4u66qXSHIxU7CkNsGGOWHs","Trainwreck","spotify:artist:1WGnWmocb9hSfRgsbpjn7i","Kyle Meagher","2021-12-10","https://i.scdn.co/image/ab67616d0000b273838cd490ed17719160bcda63","1","1","168920","https://p.scdn.co/mp3-preview/de25ead6092b4f023372f006479aded2a87f46e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","spotify:user:","2022-07-01T10:00:00Z","","0.754","0.474","0","-7.172","0","0.043","0.0119","0","0.102","0.68","99","4","","Highkey Entertainment","C 2021 Highkey Entertainment, P 2021 Highkey Entertainment"
"spotify:track:2tCL2T0TTIOS0s70HCJP3L","Hollow","spotify:artist:7MceGzCJ3bPNyErb440Izo","Mills","spotify:album:1clRfpGP6mkk4TxW33YEfO","Hollow","spotify:artist:7MceGzCJ3bPNyErb440Izo","Mills","2021-01-12","https://i.scdn.co/image/ab67616d0000b273ecdb94225ff13140f45534fc","1","1","183379","https://p.scdn.co/mp3-preview/b684e07d00d0640931a0513ab742ce9d8db9797e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2022-07-01T10:00:00Z","","0.291","0.285","6","-9.74","1","0.0305","0.69","0.0000542","0.147","0.508","174.597","4","","Million Turns/Keep Cool/RCA Records","P (P) 2021 Keep Cool/RCA Records"
"spotify:track:3defzp8pBpPdxU2uyIdHAA","All I Need","spotify:artist:45RZn1pAEvQYqkRnvFaIJx","Dylan Sinclair","spotify:album:0UGslTI60Tlnf3nRga8znK","Proverb","spotify:artist:45RZn1pAEvQYqkRnvFaIJx","Dylan Sinclair","2020-09-25","https://i.scdn.co/image/ab67616d0000b27352b59e9a80756e297db709ee","1","8","135209","https://p.scdn.co/mp3-preview/bde5745ad4a14ab20670c1a53b19769f6769d250?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2022-07-01T10:00:00Z","alternative r&b,canadian contemporary r&b,chill r&b,indie r&b","0.446","0.329","2","-12.39","0","0.0976","0.796","0.00000332","0.106","0.187","78.321","3","","Five Stone Records Inc.","C (C) 2020 Five Stone Records, P (P) 2020 Five Stone Records"
